"Points:0","Points:1","Points:2","arc_length","p"
0.059391,0.028328,0,0.26153,-256.04
0.060389,0.028303,0,0.26253,-252.32
0.061388,0.028272,0,0.26353,-248.52
0.062388,0.028236,0,0.26453,-244.74
0.063388,0.028194,0,0.26553,-241.01
0.064388,0.028148,0,0.26653,-237.35
0.065388,0.028097,0,0.26753,-233.78
0.066386,0.028042,0,0.26853,-230.31
0.067383,0.027983,0,0.26953,-226.96
0.068379,0.02792,0,0.27053,-223.73
0.069375,0.027854,0,0.27153,-220.6
0.070371,0.027785,0,0.27253,-217.58
0.071366,0.027712,0,0.27352,-214.65
0.072362,0.027637,0,0.27452,-211.84
0.07336,0.027559,0,0.27552,-209.15
0.074362,0.027477,0,0.27653,-206.55
0.075368,0.027393,0,0.27754,-204.02
0.076377,0.027305,0,0.27855,-201.55
0.077388,0.027215,0,0.27957,-199.17
0.0784,0.027122,0,0.28058,-196.87
0.079411,0.027026,0,0.2816,-194.6
0.08042,0.026928,0,0.28261,-192.38
0.081425,0.026828,0,0.28362,-190.24
0.082426,0.026727,0,0.28463,-188.15
0.083421,0.026623,0,0.28563,-186.11
0.084419,0.026517,0,0.28663,-184.15
0.085421,0.026408,0,0.28764,-182.25
0.086423,0.026297,0,0.28865,-180.37
0.087423,0.026184,0,0.28966,-178.5
0.088418,0.02607,0,0.29066,-176.63
0.08941,0.025953,0,0.29165,-174.82
0.090401,0.025835,0,0.29265,-172.99
0.091394,0.025715,0,0.29365,-171.25
0.092391,0.025592,0,0.29466,-169.7
0.093393,0.025467,0,0.29567,-168.06
0.094398,0.02534,0,0.29668,-166.38
0.095403,0.025211,0,0.29769,-164.75
0.096402,0.02508,0,0.2987,-163.12
0.097394,0.024949,0,0.2997,-161.53
0.098391,0.024816,0,0.30071,-160.04
0.099391,0.024681,0,0.30172,-158.63
0.10039,0.024543,0,0.30273,-157.23
0.10139,0.024405,0,0.30373,-155.77
0.10238,0.024267,0,0.30473,-154.32
0.10336,0.024126,0,0.30573,-152.95
0.10436,0.023984,0,0.30673,-151.62
0.10535,0.023839,0,0.30774,-150.35
0.10636,0.023693,0,0.30875,-149.14
0.10736,0.023544,0,0.30977,-147.92
0.10836,0.023395,0,0.31077,-146.62
0.10935,0.023246,0,0.31177,-145.35
0.11034,0.023095,0,0.31278,-144.22
0.11134,0.022941,0,0.31379,-143.11
0.11233,0.022787,0,0.31479,-141.97
0.11332,0.022632,0,0.31579,-140.79
0.1143,0.022476,0,0.31679,-139.69
0.11529,0.022318,0,0.31779,-138.64
0.11629,0.022158,0,0.3188,-137.61
0.11729,0.021995,0,0.31981,-136.63
0.11828,0.021831,0,0.32082,-135.63
0.11927,0.021667,0,0.32183,-134.55
0.12026,0.021502,0,0.32283,-133.53
0.12126,0.021334,0,0.32384,-132.64
0.12225,0.021165,0,0.32485,-131.73
0.12324,0.020995,0,0.32585,-130.71
0.12423,0.020824,0,0.32685,-129.76
0.12522,0.020651,0,0.32786,-128.88
0.12622,0.020474,0,0.32887,-128.02
0.12722,0.020295,0,0.32989,-127.17
0.12822,0.020116,0,0.33091,-126.24
0.12921,0.019937,0,0.33191,-125.29
0.13019,0.019756,0,0.33291,-124.36
0.13118,0.019574,0,0.33391,-123.48
0.13216,0.019391,0,0.33491,-122.64
0.13315,0.019203,0,0.33592,-121.8
0.13416,0.019012,0,0.33695,-120.96
0.13517,0.018818,0,0.33798,-120.17
0.13618,0.018622,0,0.33901,-119.35
0.13718,0.018426,0,0.34003,-118.43
0.13816,0.018232,0,0.34103,-117.5
0.13914,0.018036,0,0.34203,-116.59
0.14012,0.017839,0,0.34303,-115.68
0.14111,0.017637,0,0.34404,-114.84
0.14212,0.017429,0,0.34507,-114.09
0.14314,0.017218,0,0.3461,-113.38
0.14415,0.017005,0,0.34714,-112.57
