"Points:0","Points:1","Points:2","arc_length","p"
0.11247,0.011197,0,0.30072,74.34
0.11104,0.011243,0,0.30214,77.232
0.11025,0.011249,0,0.30293,76.999
0.10966,0.011215,0,0.30353,74.415
0.10906,0.01115,0,0.30413,72.69
0.10857,0.011128,0,0.30462,75.074
0.1079,0.011175,0,0.3053,78.549
0.10756,0.011186,0,0.30563,74.233
0.10716,0.011164,0,0.30603,71.972
0.10629,0.011136,0,0.3069,74.524
0.10542,0.011108,0,0.30778,74.214
0.10455,0.011081,0,0.30865,76.611
0.10385,0.011103,0,0.30935,75.603
0.10353,0.011093,0,0.30966,70.123
0.10269,0.010989,0,0.31051,70.15
0.10162,0.010948,0,0.31158,71.931
0.10056,0.010907,0,0.31264,71.765
0.099496,0.010867,0,0.31371,71.848
0.098433,0.010826,0,0.31477,71.97
0.097369,0.010786,0,0.31584,72.11
0.096306,0.010745,0,0.3169,71.861
0.095196,0.010683,0,0.31801,71.561
0.094085,0.01062,0,0.31913,71.516
0.092969,0.010558,0,0.32024,71.859
0.09185,0.010495,0,0.32136,71.097
0.090969,0.010397,0,0.32225,69.304
0.090087,0.0103,0,0.32314,68.231
0.089206,0.010203,0,0.32402,66.657
0.088328,0.010106,0,0.32491,66.498
0.08732,0.010049,0,0.32592,67.393
0.086373,0.0099792,0,0.32687,67.266
0.085424,0.0099093,0,0.32782,67.448
0.084471,0.0098391,0,0.32877,67.684
0.083515,0.0097687,0,0.32973,67.065
0.082558,0.0096982,0,0.33069,65.101
0.081286,0.009509,0,0.33198,65.709
0.080042,0.0094174,0,0.33323,65.111
0.079381,0.0093444,0,0.33389,61.503
0.078349,0.0092171,0,0.33493,60.895
0.077318,0.0090901,0,0.33597,60.669
0.076287,0.008963,0,0.33701,59.62
0.075249,0.0088351,0,0.33805,58.855
0.074207,0.0087067,0,0.3391,58.318
0.073173,0.0085907,0,0.34014,58.01
0.07214,0.008475,0,0.34118,57.768
0.071113,0.0083598,0,0.34222,57.504
0.070089,0.008245,0,0.34325,56.515
